Component,Link,Quantity,Unit Price,Total,With Shipping
Arduino Nano,ÿhttps://s.click.aliexpress.com/e/_DlhwLS3,X2,$2.07 ,$4.14 ,$4.64 
ÿNRF24L01+PA+LN 100mW (E01-ML01DP5),https://s.click.aliexpress.com/e/_DmEoWQf,X1,$4.37 ,$4.37 ,$8.44 
NRF24L01+PA+Wireless SMD,https://www.aliexpress.com/item/4001032051571.html?aff_fcid=6571cd2f84e74c6eb3f9178b8472a48b-1773236877079-04532-_DekKUm9&tt=CPS_NORMAL&aff_fsk=_DekKUm9&aff_platform=shareComponent-detail&sk=_DekKUm9&aff_trace_key=6571cd2f84e74c6eb3f9178b8472a48b-1773236877079-04532-_DekKUm9&terminal_id=cc9928b8bb934f2f8e701a8f5f461bd1&afSmartRedirect=y,X1,$2.11 ,$2.11 ,$5.62 
100uF (16V or above) electrolytic capacitors,ÿhttps://s.click.aliexpress.com/e/_Ddfia2R,X2,$1.02 ,$2.04 ,$3.00 
10uF electrolytic capacitors,"https://www.aliexpress.com/item/32910379011.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.141eVj08Vj08NO&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=bc581613-0b19-440f-877c-479d4f388e9b&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:bc581613-0b19-440f-877c-479d4f388e9b,tpp_buckets:668%232846%238109%231935&pdp_ext_f=%7B""order""%3A""1377""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21USD%210.73%210.66%21%21%210.73%210.66%21%40210385a817732371508048925e73f6%2112000027302961998%21rec%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A32910379011%7C_p_origin_prod%3A",X2,$0.89 ,$1.78 ,$2.76 
100nF (104) ceramic capacitor,"https://www.aliexpress.com/item/1005008483990919.html?spm=a2g0o.productlist.main.18.5d027d46Wl0i0l&algo_pvid=f068029b-95a7-484e-8585-9fbcf081ee87&algo_exp_id=f068029b-95a7-484e-8585-9fbcf081ee87-17&pdp_ext_f=%7B""order""%3A""2331""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%210.44%210.40%21%21%213.03%212.73%21%402140c1e917732495509002759e5e46%2112000045347461268%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=Py6DamOLkBbD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008483990919%7C_p_origin_prod%3A",X2,$0.43 ,$0.86 ,$1.47 
LM1117 3.3 RegACulator IC,"https://www.aliexpress.com/item/1005003271197114.html?spm=a2g0o.productlist.main.5.49e0mKzGmKzGMH&algo_pvid=c63cacea-d207-4cdd-a18e-7ba8231fdeee&algo_exp_id=c63cacea-d207-4cdd-a18e-7ba8231fdeee-4&pdp_ext_f=%7B""order""%3A""8""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%216.04%216.04%21%21%216.04%216.04%21%40211b65de17732372615652759ea03c%2112000026915350926%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=09Xqtkg0wL0p&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003271197114%7C_p_origin_prod%3A",X2,$6.72 ,$13.44 ,$13.44 
2?4 pin Header,"https://www.aliexpress.com/item/4000062424172.html?spm=a2g0o.productlist.main.3.1ff02e60DOr3qq&algo_pvid=ed80e11d-2d20-46db-8879-0084a66b4c64&algo_exp_id=ed80e11d-2d20-46db-8879-0084a66b4c64-2&pdp_ext_f=%7B""order""%3A""4""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%213.35%212.85%21%21%213.35%212.85%21%402103891017732373337637330ede3c%2110000000158969144%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=POZyNLQOmYaK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000062424172%7C_p_origin_prod%3A",X2,$2.85 ,$5.70 ,$14.86 
ÿ2.4G Antenna Adapter Cable,https://www.aliexpress.com/item/4001032051571.html?aff_fcid=6571cd2f84e74c6eb3f9178b8472a48b-1773236877079-04532-_DekKUm9&tt=CPS_NORMAL&aff_fsk=_DekKUm9&aff_platform=shareComponent-detail&sk=_DekKUm9&aff_trace_key=6571cd2f84e74c6eb3f9178b8472a48b-1773236877079-04532-_DekKUm9&terminal_id=cc9928b8bb934f2f8e701a8f5f461bd1&afSmartRedirect=y,X2,$1.24 ,$2.48 ,$4.75 
Toggle switch with plastic cover,"https://www.aliexpress.com/item/32858842031.html?spm=a2g0o.productlist.main.14.177457a7Ok0qv0&algo_pvid=59ff21fd-82ec-435b-b05f-bc9ec595a161&algo_exp_id=59ff21fd-82ec-435b-b05f-bc9ec595a161-13&pdp_ext_f=%7B""order""%3A""1446""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%214.57%214.57%21%21%214.57%214.57%21%4021010d9017732489828965303ef2fc%2112000029766731590%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=x4X8XtIfAjth&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32858842031%7C_p_origin_prod%3A",X1,$5.85 ,$5.85 ,$5.85 
Male Headers,"https://www.aliexpress.com/item/1005010337310648.html?spm=a2g0o.productlist.main.1.58044890vvOwQI&algo_pvid=c1c6037e-29a3-4daa-aee4-79a14d8364ad&algo_exp_id=c1c6037e-29a3-4daa-aee4-79a14d8364ad-0&pdp_ext_f=%7B""order""%3A""185""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2112.40%215.95%21%21%2184.68%2140.65%21%402140f54217732497921803080ee878%2112000052031729113%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=9He54BdZktP2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010337310648%7C_p_origin_prod%3A",X20,$0.33 ,$6.61 ,$4.63 
Bottom Casing,,X1,,,$12.07 
Top Casing,,X1,,,$3.95 
Transmitter PCB,,X1,,,$7.10 
Receiver PCB,,X1,,,$4.00 
Grand Total,,,,,$96.58 
